[12-Jan-2015 19:28:44 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::install() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 140
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::createTable() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 143
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::deleteTable() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 144
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getTables() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 145
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getTable() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 146
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::addColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 149
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::deleteColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 150
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::updateColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 151
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getColumns() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 152
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::hasColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 153
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::insertRow() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 156
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::deleteRow() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 157
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::updateRow() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 158
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getAllRows() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 159
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getAllRowsAsArray() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 160
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getRowByObjectId() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 161
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getRowByObjectIdAsArray() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 162
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getResults() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 165
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getResultsAsArray() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 166
[12-Jan-2015 19:28:45 UTC] PHP Strict Standards:  Static function XDataModel::getColumnValues() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 169
[12-Jan-2015 19:28:58 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[12-Jan-2015 19:30:05 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[12-Jan-2015 19:30:06 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Declaration of AdminTemplate::renderMainTemplateArea() should be compatible with TemplateRenderer::renderMainTemplateArea($teplateArea, $pageId = NULL) in /home/ubuntu/workspace/vbmscms/src/core/template/adminTemplate.php on line 5
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::install() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 140
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::createTable() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 143
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::deleteTable() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 144
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getTables() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 145
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getTable() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 146
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::addColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 149
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::deleteColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 150
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::updateColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 151
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getColumns() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 152
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::hasColumn() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 153
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::insertRow() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 156
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::deleteRow() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 157
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::updateRow() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 158
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getAllRows() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 159
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getAllRowsAsArray() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 160
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getRowByObjectId() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 161
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getRowByObjectIdAsArray() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 162
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getResults() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 165
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getResultsAsArray() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 166
[13-Jan-2015 08:11:25 UTC] PHP Strict Standards:  Static function XDataModel::getColumnValues() should not be abstract in /home/ubuntu/workspace/vbmscms/src/core/ddm/dataModel.php on line 169
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_connect(): Can't connect to MySQL server on 'rdbms.strato.de' (4) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 179
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 36
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 36
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 37
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 37
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_real_escape_string(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 38
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_real_escape_string(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/model/sessionModel.php on line 38
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): A link to the server could not be established in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
[13-Jan-2015 08:12:25 UTC] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /home/ubuntu/workspace/vbmscms/src/core/util/database.php on line 134
